Title,Description,Url,Started On,Finished On
OrbitronDev,"A connection of multiple services. ""service-account"" is the main account manager for all services. ""service-blog"" is used to create as many blogs as you want, ""service-forum"" for bulletin boards, ""service-store"" for online shops. ""service-cloud"" is the unlimited storage for the user and his services in use. https://github.com/D3strukt0r/service-account https://github.com/D3strukt0r/oauth2-orbitrondev  https://github.com/D3strukt0r/service-blog https://github.com/D3strukt0r/service-forum https://github.com/D3strukt0r/service-store  https://github.com/D3strukt0r/service-cloud",https://github.com/D3strukt0r/OrbitronDev,Jan 2013,
weleda-webcenter-text-export,"A little web application for Weleda AG which converts the exported XML file of WebCenter into raw text.  Used technologies were: HTML, CSS, JavaScript, React, TypeScript, Material UI  Code repository: https://github.com/D3strukt0r/weleda-webcenter-text-export Production environment: https://webcenter-text-export.manuele-vaccari.ch Development environment: https://webcenter-text-export-dev.manuele-vaccari.ch",https://webcenter-text-export.manuele-vaccari.ch/,Dec 2019,
