Name
Ant Design
Kubernetes
Englisch
Jenkins
React.js
Symfony Framework
DevOps
Bootstrap
Node.js
Content-Management-Systeme (CMS)
Webpack
SASS
JavaScript
Website-Erstellung
Babel.js
ECMAScript
Cascading Style Sheets (CSS)
Redux.js
PHP
Docker-Produkte
TypeScript
Git
Scrum
PHP-Anwendungen
Kreditorenbuchhaltung
Teamwork
Microsoft Office
Microsoft Excel
Microsoft PowerPoint
Microsoft Word
SAP
SAP ERP
